Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000020000000 CH2:0.0000020000000,,Second,Volt,Volt
,,,-0.02037600055,-2.04000,0.06000
,,,-0.02037400007,-2.04000,0.06000
,,,-0.02037199959,-2.04000,0.04000
,,,-0.02036999911,-2.04000,0.06000
,,,-0.02036800049,-2.04000,0.06000
,,,-0.02036600001,-2.04000,0.06000
,,,-0.02036399953,-2.04000,0.06000
,,,-0.02036199905,-2.04000,0.04000
,,,-0.02036000043,-2.04000,0.06000
,,,-0.02035799995,-2.04000,0.06000
,,,-0.02035599947,-2.04000,0.04000
,,,-0.02035400085,-2.04000,0.06000
,,,-0.02035200037,-2.04000,0.06000
,,,-0.02034999989,-2.04000,0.04000
,,,-0.02034799941,-2.04000,0.06000
,,,-0.02034600079,-2.04000,0.04000
,,,-0.02034400031,-2.04000,0.08000
,,,-0.02034199983,-2.04000,0.06000
,,,-0.02033999935,-2.04000,0.06000
,,,-0.02033800073,-2.04000,0.06000
,,,-0.02033600025,-2.04000,0.04000
,,,-0.02033399977,-2.04000,0.06000
,,,-0.02033199929,-2.04000,0.04000
,,,-0.02033000067,-2.04000,0.08000
,,,-0.02032800019,-2.04000,0.06000
,,,-0.02032599971,-2.04000,0.06000
,,,-0.02032399923,-2.04000,0.06000
,,,-0.02032200061,-2.04000,0.06000
,,,-0.02032000013,-2.04000,0.06000
,,,-0.02031799965,-2.04000,0.06000
,,,-0.02031599917,-2.04000,0.06000
,,,-0.02031400055,-2.04000,0.08000
,,,-0.02031200007,-2.04000,0.06000
,,,-0.02030999959,-2.04000,0.04000
,,,-0.02030799910,-2.04000,0.04000
,,,-0.02030600049,-2.04000,0.06000
,,,-0.02030400001,-2.04000,0.06000
,,,-0.02030199952,-2.04000,0.06000
,,,-0.02029999904,-2.04000,0.04000
,,,-0.02029800043,-2.04000,0.04000
,,,-0.02029599994,-2.04000,0.06000
,,,-0.02029399946,-2.04000,0.04000
,,,-0.02029200085,-2.04000,0.06000
,,,-0.02029000036,-2.04000,0.06000
,,,-0.02028799988,-2.04000,0.08000
,,,-0.02028599940,-2.04000,0.06000
,,,-0.02028400078,-2.04000,0.06000
,,,-0.02028200030,-2.04000,0.06000
,,,-0.02027999982,-2.04000,0.06000
,,,-0.02027799934,-2.04000,0.04000
,,,-0.02027600072,-2.04000,0.06000
,,,-0.02027400024,-2.04000,0.06000
,,,-0.02027199976,-2.04000,0.06000
,,,-0.02026999928,-2.04000,0.06000
,,,-0.02026800066,-2.04000,0.06000
,,,-0.02026600018,-2.04000,0.06000
,,,-0.02026399970,-2.04000,0.04000
,,,-0.02026199922,-2.04000,0.06000
,,,-0.02026000060,-2.04000,0.06000
,,,-0.02025800012,-2.04000,0.06000
,,,-0.02025599964,-2.04000,0.06000
,,,-0.02025399916,-2.04000,0.06000
,,,-0.02025200054,-2.04000,0.06000
,,,-0.02025000006,-2.04000,0.06000
,,,-0.02024799958,-2.04000,0.06000
,,,-0.02024599910,-2.04000,0.06000
,,,-0.02024400048,-2.04000,0.06000
,,,-0.02024200000,-2.04000,0.06000
,,,-0.02023999952,-2.04000,0.04000
,,,-0.02023799904,-2.04000,0.06000
,,,-0.02023600042,-2.04000,0.06000
